id,name,full,family,image,tip,d2t,t2d_correct,t2d_wrong1,t2d_wrong2,t2d_wrong3
rf,Random Forest,Forêt Aléatoire,model,"🌲🌲🌲 ""100+ arbres différents, chacun vote."" Chaque arbre voit un sous-ensemble aléatoire → diversité → robustesse.",Excellent choix par défaut. feature_importances_ pour voir quelles features comptent.,Ensemble de nombreux arbres de décision sur sous-ensembles aléatoires. Vote majoritaire. Robuste.,Ensemble d'arbres sur sous-ensembles aléatoires — vote majoritaire,Un seul arbre profond,Arbres en séquence,Réseau récurrent
xgb,XGBoost,Extreme Gradient Boosting,model,"🚀 ""Chaque arbre corrige les erreurs du précédent."" Arbres en SÉRIE (boosting). Champion des compétitions Kaggle sur tabulaire.",Meilleur sur tabulaire. Utiliser early_stopping pour éviter l'overfit.,Gradient boosting : arbres en séquence où chaque arbre corrige les erreurs du précédent. Champion Kaggle.,Arbres en séquence corrigeant les erreurs — champion Kaggle tabulaire,Arbres en parallèle avec vote,Réseau de neurones pour images,Algorithme de clustering
lgbm,LightGBM,Light Gradient Boosting Machine,model,"⚡ ""XGBoost mais 10x plus rapide."" Microsoft. Stratégie leaf-wise. Excellent sur grandes données.",Préférer LightGBM sur grands datasets (>100k lignes). Petits datasets → XGBoost ou Random Forest.,Gradient boosting rapide (Microsoft). Leaf-wise. 10x+ plus rapide qu'XGBoost. Pour big data.,"Gradient boosting rapide Microsoft — leaf-wise, big data",XGBoost amélioré par Google,Réseau de neurones léger mobile,Forêt aléatoire optimisée
svm,SVM,Support Vector Machine,model,"✂️ ""Je cherche la frontière qui sépare les classes avec le PLUS GRAND ESPACE possible."" Marges maximales. Kernel trick pour non-linéaire.",Excellent sur petits datasets riches. Inutilisable sur >100k lignes.,"Classifieur à marge maximale. Kernel trick pour non-linéaire. Bon sur petits datasets, lent sur big data.",Frontière à marge maximale — kernel trick — petits datasets,Ensemble d'arbres votant,Réseau de neurones convolutif,Modèle probabiliste
knn,KNN,K-Nearest Neighbors,model,"👥 ""Montre-moi tes k voisins les plus proches et je prédis comme la majorité."" Aucun entraînement — tout au moment de prédire.",Normaliser ABSOLUMENT. Lent en prédiction (calcule toutes les distances).,Prédit en regardant les k voisins les plus proches. Aucune phase d'entraînement. Lent à prédire.,"Prédit selon les k voisins — aucun entraînement, lent à prédire",Ensemble d'arbres,Réseau récurrent pour séquences,Algorithme de clustering
kmeans,K-Means,K-Means Clustering,model,"🔵🟡🔴 ""Je regroupe les points en k clusters."" Non-supervisé : pas de labels, on découvre des groupes naturels.",Utiliser la méthode du coude (elbow) pour trouver le bon k.,Algorithme non-supervisé qui groupe les données en k clusters selon la similarité géométrique.,Clustering non-supervisé en k groupes — pas de labels,Classifieur supervisé avec k voisins,Ensemble de k arbres,Réseau avec k couches
nn,Réseau de Neurones,Neural Network / Deep Learning,model,"🧠 ""Des couches de neurones artificiels qui apprennent des représentations complexes."" SOTA pour images, texte, son, vidéo.","Overkill sur données tabulaires. Indispensable pour images, NLP, son.",Couches de neurones artificiels. Black box mais SOTA pour images/texte/audio. Nécessite GPU et big data.,"Couches de neurones — SOTA images/texte, GPU, big data",Ensemble d'arbres,Clustering non-supervisé,Modèle linéaire interprétable
accuracy,Accuracy,Précision globale,classif,"✅ ""Sur 100 prédictions, combien ai-je eu juste ?"" (VP + VN) / Total. Simple mais trompeuse sur données déséquilibrées.","PIÈGE : 99% de transactions légales → ""pas fraude"" tout le temps = 99% accuracy mais 0 fraude détectée !",(VP+VN)/Total. Simple mais inutile si classes déséquilibrées. Toujours vérifier le ratio des classes.,(VP+VN)/Total — trompeur si classes déséquilibrées,VP/(VP+FP) — qualité des alertes,VP/(VP+FN) — taux de détection,2×(P×R)/(P+R)
precision,Precision,Positive Predictive Value,classif,"🎯 ""Quand je dis OUI, j'ai raison combien de fois ?"" VP / (VP + FP). Qualité des alertes.","Priorité si FP coûtent cher : spam (email important supprimé), alertes médicales inutiles...","VP/(VP+FP). Sur tous les OUI prédits, combien sont vrais. Minimise les fausses alarmes.",VP/(VP+FP) — qualité des positifs prédits — minimise fausses alarmes,VP/(VP+FN) — taux de détection,(VP+VN)/Total,2×(P×R)/(P+R)
recall,Recall,Rappel / Sensibilité / TPR,classif,"🔍 ""Sur tous les vrais cas, combien j'en ai trouvés ?"" VP / (VP + FN). Taux de détection.","Recall prioritaire si rater un cas = danger (cancer, fraude, feu). ""Mieux vaut fausse alarme que cas raté.""","VP/(VP+FN). Sur tous les vrais positifs, combien j'en ai détectés. Priorité si rater un cas est grave.",VP/(VP+FN) — taux de détection des vrais cas,VP/(VP+FP) — qualité des alertes,(VP+VN)/Total,√MSE
f1,F1 Score,F1 Score — Moyenne Harmonique,classif,"⚖️ ""La moyenne harmonique de Precision et Recall."" Force l'équilibre entre les deux. Idéal pour classes déséquilibrées.","Si Precision et Recall sont très déséquilibrés, F1 reste bas. Il punit le déséquilibre.",2×(Precision×Recall)/(Precision+Recall). Harmonie P/R. Idéal pour classes déséquilibrées.,2×(P×R)/(P+R) — équilibre precision et recall,Somme de P et R,VP/(VP+FP),VP/(VP+FN)
auc,AUC-ROC,Area Under ROC Curve,classif,"📈 ""À quel point mon modèle distingue-t-il les classes ?"" Surface sous la courbe TPR vs FPR. Indépendant du seuil.",Permet de comparer des modèles sans fixer de seuil. Indépendant du déséquilibre des classes.,"Surface sous courbe ROC. Mesure la capacité à distinguer les classes, indépendamment du seuil.","Surface sous courbe ROC — distingue les classes, seuil-indépendant",Accuracy à seuil fixe,F1 moyenné sur tous seuils,Précision des positifs
confmat,Matrice de Confusion,Confusion Matrix,classif,"📊 Tableau 2×2 : VP (bon positif), VN (bon négatif), FP (fausse alarme), FN (cas raté). La carte complète des erreurs.","Toujours regarder la matrice, pas juste l'accuracy. Elle révèle QUEL TYPE d'erreur le modèle fait.",Tableau VP/FP/VN/FN. Révèle le type d'erreurs du modèle. Diagonale = bonnes prédictions.,Tableau VP/FP/VN/FN — type d'erreurs — diagonale = bonnes prédictions,Score unique de performance,Courbe TPR vs FPR,Graphique de perte
coeff,Coefficient (β),Coefficient de régression,summary,"📊 ""Si X augmente de 1, Y change de β."" β=0.5 pour les m² : chaque m² supplémentaire ajoute 0.5k€ au prix.",Toujours regarder signe ET magnitude. Et vérifier p-value < 0.05 avant d'interpréter !,Quantifie l'impact d'une feature sur Y. Si X+1 alors Y+β. Impact unitaire de la feature.,Impact d'une feature : si X+1 alors Y+β,Probabilité que le coeff soit dû au hasard,Racine de l'erreur résiduelle,Qualité globale du modèle
pvalue,p-value,Probabilité de significativité,summary,"🎲 ""Quelle est la probabilité que ce résultat soit dû au hasard ?"" Petit p = difficile à expliquer par le hasard = significatif.","""Le seuil de 5%"" est standard mais arbitraire. Contextualiser !",Probabilité d'obtenir ce résultat par hasard. p<0.05 = significatif (improbable par hasard).,Proba que le résultat soit dû au hasard — p<0.05 = significatif,Impact chiffré d'une feature,Qualité globale du modèle,Mesure d'erreur résiduelle
odds,Odds Ratio,Rapport de Cotes,summary,"🃏 ""Combien de fois plus probable ?"" OR=3 pour fumeur → fumeurs ont 3x plus de chances de la maladie. exp(coeff logistique).",exp(coefficient) = odds ratio. Coeff logistique de 1.1 → OR = e^1.1 ≈ 3. OR=0.4 → −60%.,"Dans la régression logistique, multiplie la probabilité d'un événement. OR=3 = 3x plus probable.",Multiplicateur de probabilité — OR=3 = 3x plus probable — exp(coeff),Probabilité directe 0–1,Différence de probabilité entre groupes,Coefficient de régression linéaire
tstat,t-statistique,t-statistic,summary,"📏 ""À combien d'écarts-types le coefficient est-il de zéro ?"" |t| > 2 ≈ significatif (p<0.05 environ).",La p-value et le t-stat sont liés. |t| grand → p petit. Les deux sont affichés dans un summary.,Coefficient/écart-type. Distance à 0 en écarts-types. |t|>2 ≈ significatif. Lié à la p-value.,Coefficient/std — distance à 0 en écarts-types — |t|>2 significatif,Probabilité que le coeff soit nul,Multiplicateur d'une feature,Variance expliquée
aic,AIC / BIC,Akaike / Bayesian Information Criterion,summary,"⚖️ ""Qualité du modèle pénalisée par sa complexité."" Récompense l'ajustement, punit les features inutiles.",Utiliser pour COMPARER des modèles sur les mêmes données. BIC pénalise plus les features que AIC.,Critère comparatif entre modèles. Plus bas = meilleur. Pénalise la complexité (features inutiles).,Critère comparatif — plus bas = meilleur — pénalise la complexité,Score de qualité absolu 0–1,Erreur résiduelle,Probabilité du modèle
intercept,Intercept,Constante / Biais,summary,"📍 ""La valeur de Y quand TOUTES les features sont à 0."" Le point de départ de la droite de régression.",L'intercept calibre le modèle. Souvent peu interprétable en pratique. Se concentrer sur les coefficients.,Valeur de Y quand toutes les features = 0. Point de départ du modèle. Calibre la baseline.,Valeur de Y quand toutes les features = 0 — calibre le modèle,Impact d'une feature quand elle vaut 1,Probabilité sans données,Erreur sur la constante
sklearn,Scikit-Learn,sklearn,libs,"🔧 ""La boîte à outils ML standard Python."" Tous les algorithmes classiques, preprocessing, évaluation. API unifiée : fit() / predict() / score().",Toujours commencer par sklearn. Si besoin de GPU/deep learning → migrer vers PyTorch ou TensorFlow.,"Bibliothèque ML Python standard : tous les algos classiques, preprocessing, évaluation. API fit/predict/score.","Bibliothèque ML Python standard — algos classiques, fit/predict/score",Framework deep learning Google,Framework deep learning Meta,Bibliothèque de visualisation
pytorch,PyTorch,PyTorch (Meta),libs,"🔥 ""Define-by-run : le graphe se construit pendant l'exécution."" Très pythonique. Standard de la recherche en deep learning.","Pour la recherche et les projets custom. torchvision (images), HuggingFace (NLP). Préféré en entreprises tech.",Framework DL de Meta. Graphe dynamique. Standard en recherche. GPU natif. Pythonique.,"Framework DL Meta — graphe dynamique, favori recherche, GPU natif",Framework DL Google,Bibliothèque ML classique,Framework de serving ML
tensorflow,TensorFlow / Keras,TensorFlow (Google),libs,"🌊 ""Framework DL de Google avec API haut-niveau Keras."" Rapide à prototyper. Fort pour la production et le déploiement.",Keras pour prototyper vite. TF Serving pour déployer. TFLite pour mobile.,Framework DL Google. Keras = API haut-niveau simple. Fort pour la production et le déploiement mobile.,"Framework DL Google — Keras simple, fort en production",Framework DL Meta,Bibliothèque ML classique,Framework de visualization
pandas,Pandas,Python Data Analysis Library,libs,"🐼 ""Excel mais en Python."" DataFrames pour charger, nettoyer et explorer les données. Indispensable avant le ML.","Toujours explorer avec pandas AVANT de modéliser. df.info(), df.describe(), df.corr() = tes meilleurs amis.","Manipulation de DataFrames Python. Chargement, nettoyage, exploration des données. Avant l'étape ML.","DataFrames Python — chargement, nettoyage, exploration",Framework deep learning,Bibliothèque de modèles ML,Outil de visualisation
numpy,NumPy,Numerical Python,libs,"🔢 ""Arrays numériques ultra-rapides."" La fondation de tout l'écosystème ML Python. Code C compilé sous le capot.",Tu ne l'utilises pas souvent directement mais il est partout dessous.,"Arrays numériques ultra-rapides en Python. Fondation de sklearn, pandas, PyTorch. Opérations vectorisées.",Arrays numériques ultra-rapides — fondation de tout l'éco ML,DataFrames,Framework deep learning,Visualisation
huggingface,Hugging Face,Hugging Face Transformers,libs,"🤗 ""Le GitHub des modèles IA."" Des milliers de modèles pré-entraînés (BERT, GPT, LLaMA…) prêts à utiliser ou fine-tuner.",Pour le NLP en 2024 : HuggingFace d'abord. Fine-tuner un modèle existant > entraîner de zéro.,Hub de modèles pré-entraînés + bibliothèque Transformers. Standard pour NLP/Vision en 2024.,"Hub de modèles pré-entraînés — BERT, GPT, LLaMA prêts à l'emploi",Framework deep learning de base,Bibliothèque de visualisation,Outil de déploiement
ch_regression,Choisir : Régression,Y continu → quel modèle ?,choose,"🎯 La SORTIE est une valeur continue (prix, température, salaire…). Commencer simple, complexifier si besoin.",Toujours commencer par la régression linéaire. R² < 0.6 → Random Forest. Encore insuffisant → XGBoost.,"Problème où Y est continu (prix, température…). Baseline = LinReg, performance = XGBoost/RF. Métriques : R², MAE, RMSE.","Sortie continue → LinReg baseline, XGBoost performance, R²/MAE/RMSE métriques","Sortie catégorielle — F1, Accuracy","Sans labels — clustering, PCA","Séquences — RNN, LSTM"
ch_classification,Choisir : Classification,Y catégoriel → quel modèle ?,choose,"🏷️ La SORTIE est une catégorie (spam/pas spam, chat/chien…). Baseline : régression logistique.","Régression logistique d'abord — rapide, interprétable, souvent compétitive.",Problème à sortie catégorielle. Baseline = LogReg. Performance = XGBoost. Images = CNN. Texte = BERT.,"Sortie catégorielle → LogReg baseline, XGBoost perf, CNN images, BERT texte",Sortie continue,Groupes sans labels,Réduction de dimensionnalité
pca,PCA,Principal Component Analysis,choose,"📉 ""Je compresse les données en gardant le max d'information."" Réduit le nombre de features. Non-supervisé.","PCA CRÉE de nouvelles composantes (combinaisons linéaires), ne sélectionne pas les features originales.",Réduction de dimensionnalité non-supervisée. Crée des composantes qui capturent le maximum de variance.,Réduction de dimensionnalité — comprime les features en gardant max de variance,Algorithme de clustering,Réseau de neurones pour images,Méthode de régularisation
regularization,Régularisation,L1 Lasso / L2 Ridge,choose,"⛓️ ""Je pénalise les coefficients trop grands."" Évite l'overfitting en forçant le modèle à rester simple.",Overfitting → ajouter régularisation. L1 si tu veux sélectionner des features automatiquement.,Technique anti-overfitting : pénalise les grands coefficients. L1 = sélection de features. L2 = réduction uniforme.,"Pénalisation des grands coefficients — L1 sélectionne, L2 réduit tous",Augmentation des données,Normalisation des données,Optimisation des hyperparamètres
